word,freq,nivel,longitud
chiquilinas,0.0112,difícil,11
gorrinos,0.0295,difícil,8
milonga,0.851,difícil,7
fuera,389.0,difícil,5
macla,0.0427,difícil,5
manzanar,0.0407,difícil,8
habilite,0.38,difícil,8
fortaleza,19.5,difícil,9
arquidiocesis,0.0219,difícil,13
portara,0.0813,difícil,7
incongruencia,0.851,difícil,13
desterremos,0.0155,difícil,11
federalismo,1.7,difícil,11
asciendo,0.0457,difícil,8
asombraba,0.07759999999999999,difícil,9
acobardados,0.0331,difícil,11
carezca,0.479,difícil,7
exista,13.200000000000001,difícil,6
inmovilizan,0.0891,difícil,11
alzada,1.29,difícil,6
oes,0.08710000000000001,difícil,3
bread,0.513,difícil,5
inhabilitando,0.0295,difícil,13
piquero,0.10700000000000001,difícil,7
trituras,0.011,difícil,8
concurren,0.8320000000000001,difícil,9
melodiosas,0.0355,difícil,10
viajasen,0.0191,difícil,8
clientelas,0.0741,difícil,10
producia,0.11,difícil,8
luden,0.0191,difícil,5
manipulada,1.4100000000000001,difícil,10
contadero,0.0417,difícil,9
desmotivaciones,0.105,difícil,15
peliculero,0.038000000000000006,difícil,10
radicalizan,0.044700000000000004,difícil,11
usufructos,0.0229,difícil,10
botellero,0.0331,difícil,9
oto,0.447,difícil,3
cegaba,0.061700000000000005,difícil,6
cumanagotos,0.025699999999999997,difícil,11
vizcachas,0.08320000000000001,difícil,9
compacta,1.8199999999999998,difícil,8
indefinidos,0.589,difícil,11
movemos,1.51,difícil,7
entrar,117.0,difícil,6
teodolitos,0.018600000000000002,difícil,10
vengais,0.0813,difícil,7
confesion,0.372,difícil,9
agregaremos,0.251,difícil,11
detestas,0.204,difícil,8
porteria,0.14100000000000001,difícil,8
patones,0.0407,difícil,7
hallada,1.8599999999999999,difícil,7
oficiales,70.8,difícil,9
empalar,0.0955,difícil,7
temida,0.912,difícil,6
retuviera,0.10700000000000001,difícil,9
maquinadores,0.0234,difícil,12
esclerosis,1.4100000000000001,difícil,10
sanfermines,0.191,difícil,11
radioescuchas,0.174,difícil,13
principal,158.0,difícil,9
dietetico,0.018600000000000002,difícil,9
trasteo,0.0437,difícil,7
mucosidad,0.17800000000000002,difícil,9
sordomudas,0.017,difícil,10
desparramada,0.13199999999999998,difícil,12
canticos,0.09119999999999999,difícil,8
higienicas,0.0182,difícil,10
blanqueados,0.14100000000000001,difícil,11
absurda,5.62,difícil,7
recompone,0.09999999999999999,difícil,9
laco,0.0331,difícil,4
seguimientos,0.33099999999999996,difícil,12
gallardete,0.0692,difícil,10
cagadas,1.95,difícil,7
conmemore,0.0324,difícil,9
firmad,0.0562,difícil,6
pretendan,1.15,difícil,9
hierva,0.5619999999999999,difícil,6
desconectaron,0.148,difícil,13
desaforada,0.126,difícil,10
jera,0.0407,difícil,4
repetira,0.024,difícil,8
mordiendo,0.9769999999999999,difícil,9
sincere,0.0562,difícil,7
bailasen,0.0112,difícil,8
escrutaba,0.0129,difícil,9
munidos,0.0468,difícil,7
injuriosos,0.0933,difícil,10
vallunos,0.0191,difícil,8
meapilas,0.06459999999999999,difícil,8
tutos,0.09999999999999999,difícil,5
fiscalizaciones,0.09999999999999999,difícil,15
confirmar,16.2,difícil,9
mueblista,0.0138,difícil,9
adulta,6.76,difícil,6
estampen,0.012,difícil,8
preclaros,0.0457,difícil,9
destilados,0.224,difícil,10
escopeteros,0.0324,difícil,11
comentar,14.8,difícil,8
idus,0.158,difícil,4
inmiscuya,0.0339,difícil,9
destajo,0.537,difícil,7
nabla,0.0224,difícil,5
canibal,0.135,difícil,7
compliques,0.275,difícil,10
emprendan,0.186,difícil,9
interconectados,0.55,difícil,15
bogotanas,0.061700000000000005,difícil,9
herido,20.0,difícil,6
practican,4.37,difícil,9
jactaba,0.295,difícil,7
ungida,0.0525,difícil,6
anatomistas,0.0398,difícil,11
piches,0.0427,difícil,6
alterar,6.17,difícil,7
resultan,8.51,difícil,8
fresera,0.0117,difícil,7
san,295.0,difícil,3
arregle,2.95,difícil,7
ejecuciones,3.55,difícil,11
rebele,0.09999999999999999,difícil,6
terminasen,0.0676,difícil,10
mediciones,3.1599999999999997,difícil,10
educadas,0.9769999999999999,difícil,8
entierro,5.75,difícil,8
estropeada,0.355,difícil,10
licoroso,0.010499999999999999,difícil,8
caucana,0.044700000000000004,difícil,7
preaviso,0.7080000000000001,difícil,8
ilumino,0.102,difícil,7
fisto,0.0309,difícil,5
acertamos,0.204,difícil,9
intrincados,0.309,difícil,11
neogranadinos,0.0363,difícil,13
presupuestaron,0.0204,difícil,14
sindromes,0.0204,difícil,9
resquebrajar,0.0363,difícil,12
marees,0.0501,difícil,6
promediaron,0.051300000000000005,difícil,11
retracto,0.6759999999999999,difícil,8
cie,1.38,difícil,3
teteras,0.182,difícil,7
compusimos,0.0347,difícil,10
subsanable,0.049,difícil,10
captaran,0.0214,difícil,8
contracto,0.061700000000000005,difícil,9
jarcia,0.0741,difícil,6
magnifico,1.91,difícil,9
tragase,0.030199999999999998,difícil,7
atropella,0.813,difícil,9
asombro,4.17,difícil,7
intersticiales,0.123,difícil,14
tebeo,0.234,difícil,5
piti,0.407,difícil,4
orquestadas,0.129,difícil,11
afanados,0.0851,difícil,8
culminados,0.055,difícil,10
locativos,0.0269,difícil,9
barrillo,0.0117,difícil,8
pujaron,0.0178,difícil,7
amamantamiento,0.186,difícil,14
tomateras,0.0219,difícil,9
tendera,0.055,difícil,7
corrompieron,0.105,difícil,12
beyes,0.0191,difícil,5
refutas,0.0129,difícil,7
cambie,14.8,difícil,6
raspas,0.0977,difícil,6
memorizada,0.0398,difícil,10
procederemos,0.38,difícil,12
aferrara,0.0195,difícil,8
deformadas,0.204,difícil,10
derroco,0.0112,difícil,7
obseso,0.11,difícil,6
ceja,2.88,difícil,4
falaces,0.324,difícil,7
playeras,0.9769999999999999,difícil,8
temi,0.0676,difícil,4
rara,25.700000000000003,difícil,4
veo,214.0,difícil,3
bombarderos,1.4500000000000002,difícil,11
normativo,2.24,difícil,9
inanimada,0.0692,difícil,9
osado,1.0499999999999998,difícil,5
indigentes,1.66,difícil,10
vencieran,0.0851,difícil,9
acumulativo,0.372,difícil,11
cohetes,5.75,difícil,7
distintivo,3.8,difícil,10
reglamentos,4.470000000000001,difícil,11
exhibicionistas,0.126,difícil,15
bote,10.5,difícil,4
comiciales,0.057499999999999996,difícil,10
hacheros,0.0347,difícil,8
defraudaremos,0.0355,difícil,13
rectificada,0.151,difícil,11
abrumadora,2.24,difícil,10
espirado,0.0589,difícil,8
aeronautico,0.025699999999999997,difícil,11
lanzar,17.8,difícil,6
turnos,5.890000000000001,difícil,6
hemoglobina,1.02,difícil,11
exaspera,0.13799999999999998,difícil,8
perchel,0.0339,difícil,7
hermandad,14.1,difícil,9
hemiplejia,0.049,difícil,10
tentemos,0.0138,difícil,8
gananciales,0.288,difícil,11
frascos,1.6199999999999999,difícil,7
acristalamiento,0.0661,difícil,15
inmateriales,0.251,difícil,12
floreada,0.0977,difícil,8
fecha,132.0,difícil,5
perpetuacion,0.0112,difícil,12
gauchas,0.0631,difícil,7
insultador,0.0209,difícil,10
paramero,0.0102,difícil,8
penados,0.28200000000000003,difícil,7
inmolaciones,0.0282,difícil,12
bota,3.63,difícil,4
inversa,5.890000000000001,difícil,7
alabe,0.126,difícil,5
relanzan,0.0214,difícil,8
fosfatados,0.0155,difícil,10
versados,0.186,difícil,8
iniciase,0.08710000000000001,difícil,8
abarcan,2.75,difícil,7
respetaran,0.26899999999999996,difícil,10
fraternidades,0.26899999999999996,difícil,13
alumbramiento,0.501,difícil,13
funcionamientos,0.0933,difícil,15
almora,0.0309,difícil,6
relajaremos,0.0117,difícil,11
meristemos,0.0182,difícil,10
encurtidas,0.0182,difícil,10
ortocentro,0.0112,difícil,10
realizables,0.224,difícil,11
mochales,0.0324,difícil,8
cualificacion,0.0132,difícil,13
curacas,0.0977,difícil,7
nicoles,0.0129,difícil,7
salicilato,0.0631,difícil,10
renguea,0.0107,difícil,7
abstiene,0.427,difícil,8
defraudo,0.0891,difícil,8
candeleros,0.117,difícil,10
obtuvo,25.1,difícil,6
atolondrados,0.0347,difícil,12
zocas,0.0102,difícil,5
calificaste,0.0162,difícil,11
despistamos,0.0214,difícil,11
enrolamiento,0.117,difícil,12
moviola,0.0355,difícil,7
sugestivas,0.195,difícil,10
rehundido,0.0174,difícil,9
crudos,1.8199999999999998,difícil,6
chamuyas,0.02,difícil,8
camucha,0.0135,difícil,7
polideportiva,0.0794,difícil,13
finas,3.98,difícil,5
ahorradas,0.0251,difícil,9
preguntabas,0.45699999999999996,difícil,11
cabero,0.0851,difícil,6
jolgorio,0.324,difícil,8
azuzar,0.158,difícil,6
arabo,0.0295,difícil,5
ovinos,0.407,difícil,6
remueves,0.0363,difícil,8
diligencias,2.04,difícil,11
inmaculada,3.09,difícil,10
demuestra,33.1,difícil,9
chantas,0.288,difícil,7
arrasan,0.39799999999999996,difícil,7
intransferibles,0.191,difícil,15
financias,0.0813,difícil,9
repasamos,0.55,difícil,9
egresado,2.4499999999999997,difícil,8
colaborado,3.63,difícil,10
incurrir,1.55,difícil,8
upe,0.0427,difícil,3
iridiscentes,0.0661,difícil,12
chancea,0.010499999999999999,difícil,7
interconectadas,0.324,difícil,15
motos,7.08,difícil,5
alquilada,0.589,difícil,9
ciega,7.760000000000001,difícil,5
pollina,0.061700000000000005,difícil,7
contagiaron,0.158,difícil,11
reflotado,0.0407,difícil,9
convectivos,0.0209,difícil,11
balizamientos,0.0107,difícil,13
velon,0.0117,difícil,5
vistiese,0.030199999999999998,difícil,8
escrachar,0.158,difícil,9
cabildeando,0.0155,difícil,11
calamitosos,0.0324,difícil,11
uruguaya,5.13,difícil,8
quimicamente,0.0295,difícil,12
longas,0.0363,difícil,6
cucuruchos,0.11,difícil,10
negritas,0.372,difícil,8
insinuante,0.13799999999999998,difícil,10
destruimos,0.33099999999999996,difícil,10
entretuviera,0.0251,difícil,12
mostraria,0.0363,difícil,9
riza,0.309,difícil,4
peses,0.0759,difícil,5
expectante,0.724,difícil,10
pollo,24.0,difícil,5
relaciono,0.34700000000000003,difícil,9
honrosa,0.447,difícil,7
veia,3.63,difícil,4
incorruptos,0.0589,difícil,11
supino,0.13199999999999998,difícil,6
vitrificados,0.015099999999999999,difícil,12
fosos,0.437,difícil,5
compilacion,0.0813,difícil,11
tornase,0.0148,difícil,7
pimenteros,0.0324,difícil,10
regeneracion,0.166,difícil,12
fibras,5.75,difícil,6
suscite,0.08710000000000001,difícil,7
divinizada,0.0166,difícil,10
puebla,22.4,difícil,6
obligado,26.299999999999997,difícil,8
lechuga,3.1599999999999997,difícil,7
desatinados,0.0631,difícil,11
asentando,0.275,difícil,9
vanee,0.018600000000000002,difícil,5
candis,0.0162,difícil,6
pano,0.263,difícil,4
retal,0.0389,difícil,5
amazonas,7.59,difícil,8
recordareis,0.0214,difícil,11
percepcion,0.339,difícil,10
palabro,0.0891,difícil,7
autodidactas,0.275,difícil,12
biscochos,0.055,difícil,9
ejemplificar,0.479,difícil,12
distraccion,0.17800000000000002,difícil,11
interpretable,0.0933,difícil,13
antropologos,0.0107,difícil,12
automatizando,0.0589,difícil,13
afiliado,4.27,difícil,8
drogatas,0.031599999999999996,difícil,8
violentadas,0.16999999999999998,difícil,11
intrusa,0.316,difícil,7
eches,1.51,difícil,5
cautivador,0.219,difícil,10
solla,0.08320000000000001,difícil,5
coexistieron,0.0692,difícil,12
motivaron,1.0699999999999998,difícil,9
crucifican,0.182,difícil,10
vulgarmente,0.692,difícil,11
revocatorio,1.26,difícil,11
unire,0.0263,difícil,5
cazaran,0.0182,difícil,7
centinela,1.38,difícil,9
fusilo,0.0537,difícil,6
humero,0.057499999999999996,difícil,6
infiltraron,0.245,difícil,11
reparos,1.2,difícil,7
insultaran,0.0479,difícil,10
estirada,0.617,difícil,8
nidadas,0.0339,difícil,7
pantalanes,0.0324,difícil,10
federica,0.55,difícil,8
arriando,0.0288,difícil,8
transicion,0.389,difícil,10
victimizan,0.112,difícil,10
arrecife,2.0,difícil,8
imputa,0.8320000000000001,difícil,6
tributarios,2.1399999999999997,difícil,11
concordancia,2.04,difícil,12
diminuto,1.74,difícil,8
redondillas,0.031599999999999996,difícil,11
fuir,0.0126,difícil,4
imitadoras,0.0437,difícil,10
exterminio,3.02,difícil,10
ibicencos,0.038000000000000006,difícil,9
substanciales,0.13199999999999998,difícil,13
monea,0.0195,difícil,5
sembraban,0.08320000000000001,difícil,9
cumplimos,1.6199999999999999,difícil,9
temperatura,35.5,difícil,11
enroscados,0.0537,difícil,10
maquiladoras,0.38,difícil,12
complacidos,0.417,difícil,11
introductor,0.26899999999999996,difícil,11
poseyendo,0.468,difícil,9
repulse,0.0295,difícil,7
maximizan,0.08320000000000001,difícil,9
crea,42.7,difícil,4
vistazos,0.07759999999999999,difícil,8
afligidos,0.631,difícil,9
socializa,0.19999999999999998,difícil,9
gatunas,0.02,difícil,7
sorteado,0.407,difícil,8
astronomos,0.0263,difícil,10
resentido,2.04,difícil,9
derrito,0.151,difícil,7
domados,0.0562,difícil,7
condoro,0.030199999999999998,difícil,7
estrados,0.123,difícil,8
embaucando,0.0282,difícil,10
positivo,35.5,difícil,8
supliquemos,0.0112,difícil,11
elevados,5.62,difícil,8
jurados,3.02,difícil,7
prenombre,0.0148,difícil,9
acabaras,0.162,difícil,8
extremadas,0.0204,difícil,10
apuntalada,0.0407,difícil,10
arrojad,0.024,difícil,7
sotanos,0.0204,difícil,7
piononos,0.017,difícil,8
pulses,0.0537,difícil,6
madrugadora,0.102,difícil,11
henchidas,0.010499999999999999,difícil,9
atlantica,0.09999999999999999,difícil,9
estallase,0.08710000000000001,difícil,9
conejera,0.129,difícil,8
prometia,0.0955,difícil,8
cabezote,0.0214,difícil,8
vagones,3.7199999999999998,difícil,7
motero,0.151,difícil,6
inferencia,0.7080000000000001,difícil,10
islan,0.0155,difícil,5
paleocristianos,0.018600000000000002,difícil,15
apropiaciones,0.229,difícil,13
favorecida,0.955,difícil,10
coladera,0.112,difícil,8
endosar,0.0977,difícil,7
pompas,0.617,difícil,6
estornuda,0.28200000000000003,difícil,9
envasadora,0.0562,difícil,10
axon,0.08320000000000001,difícil,4
botones,7.24,difícil,7
vulnerabilidad,4.79,difícil,14
dupla,1.66,difícil,5
hemocultivos,0.0479,difícil,12
disquetes,0.191,difícil,9
arrepintio,0.031599999999999996,difícil,10
deflacionista,0.017,difícil,13
reactivaremos,0.0102,difícil,13
sinceramente,16.6,difícil,12
trafiquen,0.017,difícil,9
brisca,0.060300000000000006,difícil,6
bancas,3.09,difícil,6
buscaron,3.98,difícil,8
trasvasado,0.015099999999999999,difícil,10
verborragia,0.051300000000000005,difícil,11
notaran,0.155,difícil,7
las,9770.0,fácil,3
acosado,1.55,difícil,7
adoremos,0.0794,difícil,8
parcelas,2.69,difícil,8
fallecimiento,11.0,difícil,13
quemaban,0.646,difícil,8
asaltante,0.933,difícil,9
interactivas,1.0,difícil,12
regate,0.234,difícil,6
semifinalistas,0.316,difícil,14
alcazaba,0.513,difícil,8
octagonal,0.0537,difícil,9
vallada,0.0933,difícil,7
espire,0.0214,difícil,6
corchea,0.0631,difícil,7
ranquel,0.0347,difícil,7
atropellaran,0.0209,difícil,12
masque,0.204,difícil,6
suelen,39.8,difícil,6
anhelaban,0.148,difícil,9
chamarro,0.0166,difícil,8
retratan,0.741,difícil,8
motociclistas,1.12,difícil,13
mandaban,1.2,difícil,8
horarias,0.575,difícil,8
subrayado,1.7,difícil,9
formalizando,0.126,difícil,12
zorzales,0.0851,difícil,8
consiliarios,0.0251,difícil,12
perrera,0.891,difícil,7
interna,32.4,difícil,7
contemos,0.5619999999999999,difícil,8
rodilleras,0.257,difícil,10
hospitalizada,0.603,difícil,13
acicalando,0.0174,difícil,10
enganchan,0.49,difícil,9
deserta,0.13799999999999998,difícil,7
folladores,0.0174,difícil,10
quinquenal,0.501,difícil,10
vomitona,0.015099999999999999,difícil,8
rumorear,0.0457,difícil,8
lucano,0.191,difícil,6
redactaste,0.0229,difícil,10
ampliaran,0.0457,difícil,9
huracanada,0.015799999999999998,difícil,10
dopaje,1.0699999999999998,difícil,6
expirase,0.0162,difícil,8
transversal,4.8999999999999995,difícil,11
plegarias,2.09,difícil,9
almenaras,0.0457,difícil,9
griegas,2.4,difícil,7
conformaban,0.603,difícil,11
malvivientes,0.11499999999999999,difícil,12
consoladores,0.33099999999999996,difícil,12
deportaban,0.0112,difícil,10
jactanciosos,0.0347,difícil,12
molestas,2.5100000000000002,difícil,8
manipuleo,0.0407,difícil,9
tecnologica,0.224,difícil,11
introduciremos,0.061700000000000005,difícil,14
pertenecientes,11.2,difícil,14
medicacion,0.229,difícil,10
consolidaban,0.0263,difícil,12
doliente,0.437,difícil,8
carlon,0.0107,difícil,6
congresos,5.62,difícil,9
estacionario,0.603,difícil,12
cataldo,0.14100000000000001,difícil,7
catela,0.011,difícil,6
manuelas,0.0126,difícil,8
administrar,8.709999999999999,difícil,11
vividas,1.2,difícil,7
sellaran,0.015799999999999998,difícil,8
chorbo,0.0102,difícil,6
vallase,0.0324,difícil,7
friese,0.031599999999999996,difícil,6
audiencias,7.24,difícil,10
tuca,0.447,difícil,4
vengara,0.0794,difícil,7
incaicos,0.117,difícil,8
horneado,0.55,difícil,8
jugas,0.724,difícil,5
civilizaciones,4.17,difícil,14
veneciana,0.389,difícil,9
arremangadas,0.0117,difícil,12
experimento,12.6,difícil,11
ranchos,1.4100000000000001,difícil,7
eira,0.0562,difícil,4
conmueven,0.38,difícil,9
metias,0.0708,difícil,6
calculamos,0.501,difícil,10
percutores,0.0437,difícil,10
ostentosamente,0.09119999999999999,difícil,14
desenfocar,0.0263,difícil,10
combine,0.55,difícil,7
encofrado,0.145,difícil,9
estropeaba,0.0457,difícil,10
atuvieron,0.0117,difícil,9
escandallo,0.0191,difícil,10
sirviese,0.186,difícil,8
zumbido,1.6199999999999999,difícil,7
draconianas,0.135,difícil,11
alguien,537.0,medio,7
displasias,0.031599999999999996,difícil,10
tablones,0.851,difícil,8
reconciliar,0.759,difícil,11
urticantes,0.060300000000000006,difícil,10
haremos,13.5,difícil,7
sumase,0.0209,difícil,6
acalorados,0.162,difícil,10
guardamuebles,0.07759999999999999,difícil,13
amarrete,0.060300000000000006,difícil,8
ofertados,0.117,difícil,9
gutapercha,0.0363,difícil,10
reaccione,0.933,difícil,9
favorecedores,0.145,difícil,13
descolgara,0.0138,difícil,10
peonada,0.024,difícil,7
comprasen,0.0437,difícil,9
memorices,0.0166,difícil,9
sendero,7.760000000000001,difícil,7
videocinta,0.0282,difícil,10
fiambre,0.759,difícil,7
platillos,2.5100000000000002,difícil,9
tatarabuelos,0.123,difícil,12
castramos,0.0162,difícil,9
hugonote,0.06459999999999999,difícil,8
rosquillas,0.617,difícil,10
describiste,0.17800000000000002,difícil,11
reafirmaban,0.018600000000000002,difícil,11
aromas,1.5799999999999998,difícil,6
farolero,0.0501,difícil,8
allega,0.0138,difícil,6
vinieran,1.4100000000000001,difícil,8
embaucadora,0.0251,difícil,11
retomaremos,0.0891,difícil,11
defendido,6.31,difícil,9
calpulli,0.0398,difícil,8
pauperismo,0.012,difícil,10
anestesiado,0.166,difícil,11
planchando,0.174,difícil,10
emitieran,0.117,difícil,9
registrasen,0.0182,difícil,11
trallazo,0.0347,difícil,8
escaneamos,0.0107,difícil,10
decretaran,0.0129,difícil,10
confrontamos,0.0437,difícil,12
auspiciadora,0.017,difícil,12
simbolizadas,0.031599999999999996,difícil,12
tabulados,0.0589,difícil,9
irrealizable,0.251,difícil,12
blasfemaba,0.0117,difícil,10
zarzas,0.234,difícil,6
arengando,0.105,difícil,9
posponiendo,0.355,difícil,11
rehabilitadora,0.0339,difícil,14
boyales,0.0102,difícil,7
berrocal,0.324,difícil,8
zopenca,0.010499999999999999,difícil,7
pastos,3.02,difícil,6
tumben,0.14100000000000001,difícil,6
garrafas,0.34700000000000003,difícil,8
tenderos,0.355,difícil,8
abundaban,0.427,difícil,9
acumulacion,0.195,difícil,11
planeadas,0.724,difícil,9
aplauden,1.91,difícil,8
rizal,0.427,difícil,5
licita,0.195,difícil,6
biografica,0.010499999999999999,difícil,10
aprovechador,0.0891,difícil,12
invasiones,2.75,difícil,10
diego,47.9,difícil,5
sanas,2.63,difícil,5
benigno,2.04,difícil,7
luxe,0.26899999999999996,difícil,4
reabren,0.112,difícil,7
calendario,18.2,difícil,10
fumar,20.0,difícil,5
mezclas,4.07,difícil,7
duas,0.129,difícil,4
sublevacion,0.025699999999999997,difícil,11
develado,0.195,difícil,8
blusones,0.0126,difícil,8
traeran,0.057499999999999996,difícil,7
arquitecturales,0.0138,difícil,15
afeitadas,0.09119999999999999,difícil,9
quedamos,17.8,difícil,8
visteis,0.316,difícil,7
chinda,0.0195,difícil,6
barrocas,0.295,difícil,8
saboteadas,0.0148,difícil,10
destejer,0.0229,difícil,8
traida,0.13199999999999998,difícil,6
glucosuria,0.0234,difícil,10
electores,7.760000000000001,difícil,9
pelmazo,0.24,difícil,7
quechua,3.98,difícil,7
balanceen,0.012299999999999998,difícil,9
declarar,17.4,difícil,8
intimidades,0.39799999999999996,difícil,11
indonesias,0.158,difícil,10
todo,2240.0,medio,4
cana,3.09,difícil,4
elementos,75.9,difícil,9
cloacas,1.95,difícil,7
ostentaba,0.851,difícil,9
ascomicetos,0.0126,difícil,11
rebollos,0.0112,difícil,8
vanidosas,0.0562,difícil,9
balasto,0.145,difícil,7
escapa,10.0,difícil,6
reaccionario,1.32,difícil,12
anglohablantes,0.0174,difícil,14
obstaculizaron,0.0955,difícil,14
descubriste,0.851,difícil,11
picaresca,0.55,difícil,9
mereciera,0.479,difícil,9
roro,0.105,difícil,4
arrebatamiento,0.06459999999999999,difícil,14
visitar,33.1,difícil,7
parenquimatosa,0.0135,difícil,14
fiscalias,0.0204,difícil,9
poyas,0.0331,difícil,5
coquetearon,0.0115,difícil,11
pavimentaciones,0.025699999999999997,difícil,15
cachuela,0.0219,difícil,8
rehundidos,0.0112,difícil,10
macedonio,1.48,difícil,9
rese,0.0741,difícil,4
captaban,0.08710000000000001,difícil,8
revolucionando,0.389,difícil,14
encelado,0.057499999999999996,difícil,8
estimen,0.39799999999999996,difícil,7
apostemos,0.204,difícil,9
desmayaste,0.145,difícil,10
remando,0.813,difícil,7
candelas,0.661,difícil,8
vaporizar,0.117,difícil,9
vacilaba,0.061700000000000005,difícil,8
infravalorada,0.14100000000000001,difícil,13
entroncaba,0.0209,difícil,10
amigote,0.126,difícil,7
